large_class_ip_name,product_date,product_count,product_mean,product_median,three_month_count,three_month_mean,three_month_median,six_month_count,six_month_mean,six_month_median,IP,event_content
つり球,2012-04-01,22,167.3636364,96.5,41,45.6097561,22,,,,つり球,SF/ファンタジー
つり球,2012-04-01,22,167.3636364,96.5,41,45.6097561,22,,,,つり球,SF/ファンタジー
東京喰種トーキョーグール,2014-04-03,24,243.6666667,229,144,94.52777778,41.5,,,,東京喰種トーキョーグール,ドラマ/青春
東京喰種トーキョーグール,2014-04-03,24,243.6666667,229,144,94.52777778,41.5,,,,東京喰種トーキョーグール,SF/ファンタジー
東京喰種トーキョーグール,2014-04-03,24,243.6666667,229,144,94.52777778,41.5,,,,東京喰種トーキョーグール,SF/ファンタジー
東京喰種トーキョーグール,2014-04-03,24,243.6666667,229,144,94.52777778,41.5,,,,東京喰種トーキョーグール,アクション/バトル
新妹魔王の契約者,2014-11-25,46,138,48,18,88.55555556,55,,,,新妹魔王の契約者,恋愛/ラブコメ
新妹魔王の契約者,2014-11-25,46,138,48,18,88.55555556,55,,,,新妹魔王の契約者,アクション/バトル
ジャヒー様はくじけない!,2021-08-01,5,1622.6,1553,34,1408.470588,636.5,,,,ジャヒー様はくじけない!,SF/ファンタジー
ジャヒー様はくじけない!,2021-08-01,5,1622.6,1553,34,1408.470588,636.5,,,,ジャヒー様はくじけない!,SF/ファンタジー
ジャヒー様はくじけない!,2021-08-01,5,1622.6,1553,34,1408.470588,636.5,,,,ジャヒー様はくじけない!,コメディ/ギャグ
ジャヒー様はくじけない!,2021-08-01,5,1622.6,1553,34,1408.470588,636.5,,,,ジャヒー様はくじけない!,コメディ/ギャグ
ノラガミ,2013-10-07,26,124.2307692,116,66,80.54545455,25,,,,ノラガミ,アクション/バトル
くノ一ツバキの胸の内,2022-03-11,55,397,316,48,688.1666667,604,,,,くノ一ツバキの胸の内,コメディ/ギャグ
贄姫と獣の王,2023-04-20,4,268.5,268.5,106,442.3018868,192,38,738.8421053,327,贄姫と獣の王,SF/ファンタジー
贄姫と獣の王,2023-04-20,4,268.5,268.5,106,442.3018868,192,38,738.8421053,327,贄姫と獣の王,SF/ファンタジー
ヒナまつり,2018-03-04,11,353.3636364,252,17,305.5294118,169,,,,ヒナまつり,SF/ファンタジー
ヒナまつり,2018-03-04,11,353.3636364,252,17,305.5294118,169,,,,ヒナまつり,コメディ/ギャグ
