large_class_ip_name,product_date,product_count,product_mean,product_median,three_month_count,three_month_mean,three_month_median,six_month_count,six_month_mean,six_month_median,IP,event_content
うる星やつら,2022-10-14,42,5037.761905,3713,18,33708.55556,23109,58,22163.86207,8108,うる星やつら,恋愛/ラブコメ
うる星やつら,2022-10-14,42,5037.761905,3713,18,33708.55556,23109,58,22163.86207,8108,うる星やつら,SF/ファンタジー
うる星やつら,2022-10-14,42,5037.761905,3713,18,33708.55556,23109,58,22163.86207,8108,うる星やつら,SF/ファンタジー
うる星やつら,2022-10-14,42,5037.761905,3713,18,33708.55556,23109,58,22163.86207,8108,うる星やつら,コメディ/ギャグ
恋は世界征服のあとで,2022-04-08,3,185.3333333,182,67,540.880597,190,46,365.9565217,138.5,恋は世界征服のあとで,恋愛/ラブコメ
最近雇ったメイドが怪しい,2022-06-21,3,710.3333333,654,13,4013.923077,1356,,,,最近雇ったメイドが怪しい,恋愛/ラブコメ
ハクメイとミコチ,2018-01-12,16,403.1875,359.5,38,684.6842105,355,,,,ハクメイとミコチ,SF/ファンタジー
盾の勇者の成り上がり,2019-01-10,14,608,605,102,250.3137255,188,,,,盾の勇者の成り上がり,SF/ファンタジー
リコリス・リコイル,2022-07-02,55,6962.090909,4197,86,816.6860465,361.5,3,5830,2986,リコリス・リコイル,アクション/バトル
学園ハンサム,2016-07-12,6,1814.166667,1007.5,11,1853.909091,415,,,,学園ハンサム,恋愛/ラブコメ
学園ハンサム,2016-07-12,6,1814.166667,1007.5,11,1853.909091,415,,,,学園ハンサム,コメディ/ギャグ
グランブルーファンタジー,2016-10-11,20,995.9,208,24,2169.166667,1469.5,,,,グランブルーファンタジー,アクション/バトル
あひるの空,2019-08-21,5,693,488,21,3225.333333,1120,,,,あひるの空,ドラマ/青春
あひるの空,2019-08-21,5,693,488,21,3225.333333,1120,,,,あひるの空,ドラマ/青春
うらみちお兄さん,2021-08-20,4,4657,3749.5,67,5046.686567,3542,9,7888.888889,3997,うらみちお兄さん,コメディ/ギャグ
うらみちお兄さん,2021-08-20,4,4657,3749.5,67,5046.686567,3542,9,7888.888889,3997,うらみちお兄さん,コメディ/ギャグ
夜桜四重奏 〜ヨザクラカルテット〜,2013-06-26,4,144,142.5,11,125.2727273,84,,,,夜桜四重奏 〜ヨザクラカルテット〜,SF/ファンタジー
夜桜四重奏 〜ヨザクラカルテット〜,2013-06-26,4,144,142.5,11,125.2727273,84,,,,夜桜四重奏 〜ヨザクラカルテット〜,SF/ファンタジー
夜桜四重奏 〜ヨザクラカルテット〜,2013-06-26,4,144,142.5,11,125.2727273,84,,,,夜桜四重奏 〜ヨザクラカルテット〜,コメディ/ギャグ
夜桜四重奏 〜ヨザクラカルテット〜,2013-06-26,4,144,142.5,11,125.2727273,84,,,,夜桜四重奏 〜ヨザクラカルテット〜,コメディ/ギャグ
夜桜四重奏 〜ヨザクラカルテット〜,2013-06-26,4,144,142.5,11,125.2727273,84,,,,夜桜四重奏 〜ヨザクラカルテット〜,コメディ/ギャグ
夜桜四重奏 〜ヨザクラカルテット〜,2013-06-26,4,144,142.5,11,125.2727273,84,,,,夜桜四重奏 〜ヨザクラカルテット〜,コメディ/ギャグ
夜桜四重奏 〜ヨザクラカルテット〜,2013-06-26,4,144,142.5,11,125.2727273,84,,,,夜桜四重奏 〜ヨザクラカルテット〜,アクション/バトル
トライガン,2022-11-27,3,1400.666667,643,28,3651.428571,2264,,,,トライガン,SF/ファンタジー
トライガン,2022-11-27,3,1400.666667,643,28,3651.428571,2264,,,,トライガン,アクション/バトル
対魔導学園35試験小隊,2015-09-27,24,66.875,57,48,43.22916667,30,,,,対魔導学園35試験小隊,恋愛/ラブコメ
対魔導学園35試験小隊,2015-09-27,24,66.875,57,48,43.22916667,30,,,,対魔導学園35試験小隊,アクション/バトル
妹さえいればいい。,2017-07-19,35,337.6,321,2,955.5,955.5,,,,妹さえいればいい。,恋愛/ラブコメ
ツルネ -風舞高校弓道部-,2018-09-07,330,878.4545455,555.5,145,2633.206897,1222,,,,ツルネ -風舞高校弓道部-,ドラマ/青春
ヴィンランド・サガ,2019-06-16,20,244.1,209.5,60,776.3,294.5,,,,ヴィンランド・サガ,アクション/バトル
異世界食堂,2017-07-04,21,268.4285714,191,37,309.2702703,151,,,,異世界食堂,SF/ファンタジー
IDOLY PRIDE,2020-02-04,11,337.8181818,291,23,573.9130435,443,,,,IDOLY PRIDE,ドラマ/青春
ゆるゆり,2011-06-12,264,41.46969697,21,116,26.79310345,14,,,,ゆるゆり,ドラマ/青春
ゆるゆり,2011-06-12,264,41.46969697,21,116,26.79310345,14,,,,ゆるゆり,恋愛/ラブコメ
テスラノート,2021-08-20,4,51.75,50.5,1,88,88,,,,テスラノート,アクション/バトル
葬送のフリーレン,2021-10-19,3,933.6666667,884,9,1518,1356,,,,葬送のフリーレン,ドラマ/青春
葬送のフリーレン,2021-10-19,3,933.6666667,884,9,1518,1356,,,,葬送のフリーレン,SF/ファンタジー
