large_class_ip_name,product_date,product_count,product_mean,product_median,three_month_count,three_month_mean,three_month_median,six_month_count,six_month_mean,six_month_median,ip_type
戦姫絶唱シンフォギア,2012-01-20,115,51.217391304347828,39.0,185,27.702702702702695,17.0,,,,アニメ
政宗くんのリベンジ,2023-02-07,4,1520.0,1520.0,14,978.71428571428589,1071.0,,,,漫画
少女終末旅行,2017-10-06,8,769.125,664.0,18,1129.7222222222222,937.5,,,,漫画
たまこまーけっと,2013-01-10,63,15.603174603174605,14.0,262,24.526717557251906,14.0,,,,アニメ
異世界美少女受肉おじさんと,2022-01-12,5,244.2,211.0,38,973.94736842105249,298.0,,,,漫画
デビルズライン,2018-02-05,7,717.57142857142856,656.0,2,5096.0,5096.0,,,,漫画
デスマーチからはじまる異世界狂想曲,2018-01-12,12,133.5,125.0,40,278.27500000000003,226.0,,,,ライトノベル
ヘアピンダブル,2022-02-15,1,76.0,76.0,1,390.0,390.0,2,247.5,247.5,アニメ
ブッチギレ!,2022-07-08,33,201.0,168.0,81,550.33333333333326,390.0,,,,アニメ
PUI PUI モルカー,2020-12-21,84,13654.69047619047,4921.5,2,33.5,33.5,,,,アニメ
Vivy -Fluorite Eye's Song-,2021-04-18,54,1081.9444444444443,958.5,34,765.264705882353,488.5,,,,アニメ
ZETMAN,2012-03-05,67,4.9402985074626864,4.0,169,10.065088757396452,2.0,,,,漫画
86-エイティシックス-,2021-04-11,224,742.57142857142821,574.5,344,927.59302325581439,554.5,,,,ライトノベル
バトルガール ハイスクール,2016-08-03,7,612.71428571428578,400.0,43,572.34883720930247,427.0,,,,ゲーム
パックマン,2021-05-21,6,65.333333333333329,66.0,4,70.5,49.0,,,,ゲーム
境界戦機,2021-08-14,2,189.0,189.0,14,613.71428571428567,144.0,,,,アニメ
ヘヴィーオブジェクト,2015-10-13,18,148.16666666666669,74.5,31,95.225806451612911,65.0,,,,ライトノベル
銀河英雄伝説,2017-09-18,24,513.66666666666674,469.0,16,149.50000000000003,149.5,,,,ライトノベル
魔女の旅々,2020-02-05,4,453.0,478.5,57,688.42105263157919,608.0,,,,ライトノベル
異世界迷宮でハーレムを,2022-06-13,13,215.92307692307693,153.0,1,332.0,332.0,,,,ライトノベル
めいたんていラスカル,2013-11-24,9,390.44444444444446,9.0,97,15.597938144329898,14.0,96,7.322916666666667,6.0,アニメ
真の仲間じゃないと勇者のパーティーを追い出されたので、辺境でスローライフすることにしました,2021-10-06,5,165.6,175.0,19,252.36842105263162,203.0,20,289.8,245.5,ライトノベル
甘城ブリリアントパーク,2014-09-20,23,134.04347826086956,85.0,37,97.756756756756744,71.0,,,,ライトノベル
贄姫と獣の王,2023-04-20,4,268.5,268.5,106,442.30188679245276,192.0,38,738.842105263158,327.0,漫画
鉄腕アトム,2020-11-17,6,574.16666666666663,427.0,4,6048.5,3152.0,,,,漫画
境界の彼方,2013-09-05,26,190.92307692307693,150.5,19,123.21052631578947,95.0,,,,ライトノベル
異世界はスマートフォンとともに。,2023-05-03,15,179.20000000000002,168.0,243,658.45679012345693,513.0,,,,ライトノベル
同居人はひざ、時々、頭のうえ。,2018-11-11,26,477.96153846153851,315.0,9,537.0,428.0,,,,漫画
HUNTER×HUNTER,2020-09-14,2,1853.0,1853.0,38,310.0,124.0,2,656.0,656.0,漫画
アイドールズ!,2021-01-08,5,41.6,36.0,74,34.662162162162147,18.5,,,,アニメ
ロウきゅーぶ!,2011-07-12,15,30.4,18.0,30,40.199999999999996,28.5,,,,ライトノベル
幸腹グラフィティ,2014-12-30,33,111.57575757575758,96.0,118,67.499999999999986,30.0,,,,漫画
モンスター娘のいる日常,2015-07-08,16,143.3125,129.0,74,141.64864864864867,72.0,,,,漫画
悪役令嬢なのでラスボスを飼ってみました,2022-10-27,2,599.0,599.0,6,162.5,131.0,28,772.96428571428567,246.0,ライトノベル
となりの吸血鬼さん,2018-05-26,4,222.25,113.5,4,331.75,289.5,,,,漫画
中間管理録トネガワ,2018-08-22,6,176.33333333333331,135.0,53,873.8679245283015,305.0,1,211.0,211.0,漫画
